id,english,translation
0x078F2EA6,"Now that the ship has fuel and the centrifuge is working, I just have to re-engage the engines from the Engine Room.  The automatic navigation systems should then correct our orbit.","이제 우주선에 연료도 채웠고 원심분리기도 작동하니, 엔진실에서 엔진만 다시 가동하면 된다. 그러면 자동항해장치가 궤도를 수정할 것이다."
0x07AE824C,"DURATION","지속시간"
0x07E2F716,"PAYLOAD 8772 LAUNCHED","화물 8772 발사"
0x07EF581C,"Wright Bagwell","Wright Bagwell"
0x07F677D9,"Would you like to install the latest EA Download Manager?  If you do not install the latest EA Download Manager, patches and certain features cannot be delivered to your machine.\n","최신 EA 다운로드 매니저를 설치하시겠습니까? 최신 EA 다운로드 매니저를 설치하지 않으면 패치 및 일부 기능을 받을 수 없습니다.\n"
0x08222C2F,"Senior Global VP, EA Games Label Marketing","EA 게임즈 레이블 마케팅 글로벌 수석 부사장"
0x08AFD73F,"[Navigate]Navigate","[Navigate]이동"
0x0918CD61,"[Activate]","[Activate]"
0x096A3A3C,"Tram Station","정거장"
0x096A3A3D,"Security Station","보안 구역"
0x096A3A3E,"Main Lab","주 연구실"
0x096A3A3F,"Bio Lab","생체 연구실"
0x096A3A40,"Clinic","진료실"
0x096A3A41,"Emergency Room","응급실"
0x096A3A42,"Morgue","영안실"
0x096A3A43,"Imaging Diagnostics","영상 진단실"
0x096A3A44,"Zero-G Therapy Hallway","무중력 치료실 복도"
0x09778195,"Senior Gameplay Engineering","수석 게임플레이 엔지니어링"
0x0996DCE2,"[Aim_Mode]","[Aim_Mode]"
0x0A22BEBB,"Go to the Medical Deck","의료 구역으로 가라"
0x0A34D7B8,"Diagnostics Scanner Now Online. Begin Scan?","진단 스캐너 작동. 스캔을 시작하시겠습니까?"
0x0A6BBF05,"MAINTENANCE BAY KEY","관리구역 열쇠"
0x0A92FBE4,"[Quick_Health]","[Quick_Health]"
0x0A94AE9A,"Sound Designers","사운드 디자이너"
0x0B2139E9,"Italian Product Manager","이탈리아 제품 매니저"
0x0B2139EE,"Italian Public Relations","이탈리아 홍보"
0x0B4388B5,"Retrieve the Captain's RIG","선장의 RIG를 회수하라"
0x0B56C2DE,"When an immense mining ship, the USG Ishimura, comes into contact with a mysterious alien artifact in a remote star system, its communications with Earth are mysteriously cut off. Engineer Isaac Clarke is sent to repair the Ishimura's communications array, but he arrives to find a living nightmare-the ship is a floating bloodbath, the crew unspeakably mutilated and infected by an ancient alien scourge. Clarke's repair mission becomes one of survival as he fights not just to save himself, but to return the artifact to the planet ... at any cost.","거대 채굴선 USG 이시무라가 외딴 항성계에서 정체불명의 외계 유물과 접촉한 뒤, 지구와의 통신이 알 수 없는 이유로 끊긴다. 이시무라의 통신배열을 수리하기 위해 기술자 아이작 클라크가 파견되지만, 그가 도착한 곳은 살아있는 악몽이었다. 우주선은 피바다가 된 채 떠돌고 있었고, 승무원들은 고대 외계 재앙에 감염되어 차마 말로 표현할 수 없을 만큼 끔찍하게 훼손되어 있었다. 클라크의 수리 임무는 생존을 위한 싸움으로 바뀌고, 그는 자신을 구하기 위해서뿐만 아니라 어떤 대가를 치르더라도 유물을 행성으로 되돌려 놓기 위해 싸워야 한다."
0x0B6303DE,"New Save","새로 저장"
0x0B8D9991,"(Excerpts from THE FALSE MESSIAH, a book banned on Earth and most colonies)\n\nA RELIGION IS BORN\n\nWhen Michael Altman went public with his research on the Black Marker, the world was teetering on the brink of self-destruction. Many people, myself included, felt civilization was at an end. We couldn't change the world by ourselves and most of us didn't want to. What Altman offered us, this chance at a rebirth for humanity, was exactly what our hungry, empty souls were looking for.\n\n","(지구와 대부분의 콜로니에서 금서로 지정된 책, 『거짓 메시아』에서 발췌)\n\n종교의 탄생\n\n마이클 알트만이 블랙 마커에 대한 연구를 공개했을 때, 세상은 자멸의 벼랑 끝에서 휘청이고 있었다. 나를 포함한 많은 사람들이 문명이 끝났다고 느꼈다. 우리 힘만으로는 세상을 바꿀 수 없었고, 대부분은 바꾸고 싶어하지도 않았다. 알트만이 우리에게 제시한 것, 인류가 다시 태어날 기회야말로 굶주리고 공허한 우리의 영혼이 찾던 바로 그것이었다.\n\n"
0x0B9DC9B5,"NEW ALLY?","새로운 동맹?"
0x0BDB005D,"MIXING COMPLETE","혼합 완료"
0x0BDB27CE,"Anja Heppelmann","Anja Heppelmann"
0x0BE86E0D,"AIM THE ADS CANNON","ADS 캐논 조준"
0x0C29C0CB,"Aim Mode Controls","조준 키 설정"
0x0C46ADD1,"SOB OVERRIDE","개자식의 강제 조작"
0x0C659638,"Scroll Lock","Scroll Lock"
0x0C86F791,"REPAIR THE TRAM SYSTEM","전동차 시스템 수리"
0x0C8FB76B,"Senior Publicist","수석 홍보 담당"
0x0C9F5D66,"EILEEN","아일린"
0x0CA60F2F,"SINGULARITY CORE","특이성 코어"
0x0CA69928,"[UI_Select]Continue","[UI_Select]계속"
0x0CB80C0F,"CENTRIFUGE OFFLINE","원심분리기 작동 중지"
0x0CBF7263,"Yang Qing Hua","Yang Qing Hua"
0x0D301733,"Veerle Taeye","Veerle Taeye"
0x0D4E64E3,"With the DNA combined with Kendra's chemical mixture, I just need to run it through the chemical station again to create the poison.","켄드라가 만든 화학 혼합물에 DNA를 섞었으니, 화학실에서 한 번 더 처리해 독극물을 만들기만 하면 된다."
0x0D8B8DEE,"Dom Regan","Dom Regan"
0x0D8D3DA7,"Save your game and Load it again to play another Round with all of your equipment.","게임을 저장한 뒤 다시 불러오면 모든 장비를 가진 채로 새 회차를 플레이할 수 있습니다."
0x0E3C07DA,"This product contains software technology licensed from On2 Technologies, Inc.","이 제품에는 On2 Technologies, Inc. 사로부터 사용 허가를 받은 소프트웨어 기술이 포함되어 있습니다."
0x0E54B935,"Open the Hangar Door","격납고 문을 열어라"
0x0E9BA8C6,"Gondola","곤돌라"
0x0EC4759C,"Press new key / button","새로운 키/버튼을 누르시오"
0x0EC83B53,"Rene Apperly","Rene Apperly"
0x0EC83B54,"James Arup","James Arup"
0x0EC83B55,"Sherwyn Augustus","Sherwyn Augustus"
0x0EC83B56,"Earl Baker","Earl Baker"
0x0EC83B57,"Stephen Baker","Stephen Baker"
0x0EC83B58,"Dave Beck","Dave Beck"
0x0EC83B59,"James Bolton","James Bolton"
0x0EC83B5A,"Matt Bright","Matt Bright"
0x0EC83B5B,"Phil Brown","Phil Brown"
0x0F1AF918,"MEDIUM AIR CAN","중형 산소통"
0x0F29932C,"DELETE","삭제"
0x0F2FECFB,"Daniele Siciliano","Daniele Siciliano"
0x0F4A3733,"STASIS PACK","감속장비 팩"
0x0F506477,"Aim Mode","조준"
0x0F53C263,"QA Project Lead","QA 프로젝트 리드"
0x0F8C6D2A,"RIPPER BLADES\nSchematic Acquired\nDownload at the Store","리퍼날\n설계도 획득\n상점에서 다운로드"
0x0F9F13A3,"BEACON RECOVERED","신호기 회수"
0x0FC6EFD6,"NAV CARD 3","운항카드 3"
0x0FCE73F8,"Air Timer","산소 타이머"
0x0FCE73F9,"AIR CANISTERS","산소통"
0x0FD78203,"[MapZoomIn]Zoom In","[MapZoomIn]확대"
0x101508E9,"The captain's body made it down to the morgue, probably before the ship was totally compromised.  Nicole worked on this deck.  Maybe I can find something...anything showing that she's still alive.","선장의 시신은 영안실로 옮겨졌다. 아마 우주선이 완전히 장악당하기 전이었을 것이다. 니콜은 이 구역에서 일했다. 어쩌면 그녀가 아직 살아있다는 걸 보여줄 뭔가를… 무엇이든 찾을 수 있을지도 모른다."
0x101FD27A,"This is USM Valor, widecasting on all frequencies to USG Ishimura in response to your SOS. We've picked up your escape pod number 47, and are en route to your position. This message will repeat every thirty seconds until you respond.","여기는 USM 밸러. USG 이시무라의 조난신호에 응답하여 모든 주파수로 광역 송신 중이다. 우리는 귀측의 47번 탈출포드를 회수했으며, 현재 귀측 위치로 이동 중이다. 이 메시지는 응답이 있을 때까지 30초마다 반복된다."
0x101FD2A9,"Ka... What...","크… 뭐야…"
0x1023D3A7,"This is Commander Cadigan! We have hostiles on board! This is NOT a drill! Hostiles are alien, repeat, ALIEN and extremely dangerous! All personnel have weapons ready and fire at will!","카디간 사령관이다! 적이 함내에 침입했다! 이건 훈련이 아니다! 적은 외계 생명체다, 반복한다, 외계 생명체이며 극도로 위험하다! 전 대원은 무기를 준비하고 자유롭게 사격하라!"
0x103D9D27,"CONTROL MODULE PLACED","조종 모듈 설치"
0x10478F37,"English","영어"
0x104C8379,"Zero-G Jump","무중력 점프"
0x106CE7A0,"POWER CELL ENGAGED","파워 셀 연결"
0x1070F0F8,"Rd","번째"
0x10CA92FA,"Kinesis Symbol","유도장비 표식"
0x10D2E854,"Backspace","Backspace"
0x10DC26AB,"TRAM STATUS","전동차 상태"
0x10E9F23B,"[Use]Use","[Use]사용"
0x10ED8F7F,"STASIS MODULE","감속장비"
0x11095542,"INTERESTING RESULTS","흥미로운 결과"
0x11192140,"Live With The Hot Ones","화끈한 녀석들과 함께"
0x11208819,"Michael Gagnon","Michael Gagnon"
0x1120881A,"Ashley Liu","Ashley Liu"
0x11A63A80,"Luciana Stella Boscaratto","Luciana Stella Boscaratto"
0x11D9BE00,"Complete Chapter 3 on any difficulty setting","아무 난이도로 3장 완료"
0x11F450F4,"Hard","어려움"
0x1223E7DC,"MEDIUM MED PACK","중형 회복제"
0x1246B93F,"SCANNER ONLINE","스캐너 작동"
0x126B8134,"Accept","확인"
0x12A75996,"Scott Gamel","Scott Gamel"
0x12AFBDDC,"Print Screen","Print Screen"
0x12E05E17,"I'm trying!","하고 있잖아!"
0x12FA53E0,"STAND BY","점검 중"
0x130D9B20,"The beacon's in place!  Just need to get to the Control Room and launch the asteroid off the ship.","신호기를 설치했다! 이제 통제실로 가서 소행성을 우주선 밖으로 발사하기만 하면 된다."
0x1356503B,"Go to the Medical Deck","의료 구역으로 가라"
0x1378D2BB,"TERRIBLE MISTAKE","끔찍한 실수"
0x1396F21F,"CHEMICAL CAPSULE","약품 캡슐"
0x13AEADB8,"Destroy the Poison Pods (1)","독극물 포드를 파괴하라 (1)"
0x13AEADB9,"Destroy the Poison Pods (2)","독극물 포드를 파괴하라 (2)"
0x13AEADBA,"Destroy the Poison Pods (3)","독극물 포드를 파괴하라 (3)"
0x13AEADBB,"Destroy the Poison Pods (4)","독극물 포드를 파괴하라 (4)"
0x13AEADBC,"Destroy the Poison Pods (5)","독극물 포드를 파괴하라 (5)"
0x13AEADBD,"Destroy the Poison Pods (6)","독극물 포드를 파괴하라 (6)"
0x13AEADBE,"Destroy the Poison Pods (7)","독극물 포드를 파괴하라 (7)"
0x13AEADBF,"Destroy the Poison Pods (8)","독극물 포드를 파괴하라 (8)"
0x13DBDCE8,"CROSS REPORT 1","크로스의 보고 1"
0x14209390,"DATA BOARD INSTALLED","데이터보드 설치 완료"
0x1440E61C,"Secondary Fire","보조 공격"
0x14A0BAB5,"Additional Environment Art","추가 환경 아트"
0x14A8E4D6,"F1","F1"
0x14A8E4D7,"F2","F2"
0x14A8E4D8,"F3","F3"
0x14A8E4D9,"F4","F4"
0x14A8E4DA,"F5","F5"
0x14A8E4DB,"F6","F6"
0x14A8E4DC,"F7","F7"
0x14A8E4DD,"F8","F8"
0x14A8E4DE,"F9","F9"
0x14B7E8C6,"Up Arrow","방향키 위"
0x14B99C13,"Oxygen Canister","산소통"
0x14B99C14,"AUDIO LOG","음성 기록"
0x14B99C17,"FLAME FUEL","기름통"
0x14B99C18,"Medical Supplies","의료품"
0x14B99C19,"POWER NODE","파워 노드"
0x14B99C1A,"PLASMA ENERGY","플라즈마 에너지"
0x14B99C1B,"THERMITE BOMB","고열폭탄"
0x14BA9C51,"TRAM DATA BOARD","전동차 데이터보드"
0x14BA9C52,"TEXT LOG","문서 기록"
0x14BA9C53,"VIDEO LOG","영상 기록"
0x14BA9C55,"SCHEMATIC","설계도"
0x14BA9C56,"STASIS BATTERY","감속 배터리"
0x14BA9C57,"CONTACT ENERGY","컨택트 에너지"
0x14BA9C58,"CURRENCY","화폐"
0x14BA9C59,"LINE RACKS","라인 랙"
0x14BEF59D,"Schematics","설계도"
0x14CB978C,"Marksman","명사수"
0x14CF8B3A,"Beat the game using only the Plasma Cutter","플라즈마 커터만 사용하여 게임 클리어"
0x1516B7E1,"Medium air canister that replenishes the air meter.","산소 미터를 보충해 주는 중형 산소통."
0x1525F71D,"Clayton Vaught","Clayton Vaught"
0x153D051E,"Power Cell","파워 셀"
0x1545F5FC,"Restores Stasis Energy.","감속장비의 에너지를 충전한다."
0x159C2B42,"RIPPER","리퍼"
0x15AA226E,"Development Director - Outsourcing","개발 디렉터 - 외주"
0x15ADC9BB,"USG ISHIMURA\nStore & Exchange","USG 이시무라\n상점 & 교환소"
0x15B3249B,"Development Manager - Environments","개발 매니저 - 환경"
0x15B324A5,"Development Manager - Outsourcing","개발 매니저 - 외주"
0x15BB149F,"Switch Weapons","무기 바꾸기"
0x15C2AE9F,"Holo-card containing shuttle navigation data.","우주선 운항 데이터가 담긴 홀로카드."
0x15D43F26,"There are power junctions scattered around the Bridge.  I can hack into them and redistribute power to the ADS system.  Then Hammond can start it up and the ship will be protected from the asteroid bombardment.","브릿지 곳곳에 배선함이 흩어져 있다. 이것들을 해킹해서 ADS 시스템으로 전력을 재분배할 수 있다. 그러면 해먼드가 시스템을 가동할 수 있고, 우주선은 소행성 폭격으로부터 보호될 것이다."
0x15D4D48F,"PULSE ROUNDS\nSchematic Acquired\nDownload at the Store","펄스 라운드\n설계도 획득\n상점에서 다운로드"
0x165CE976,"Thomas Holt","Thomas Holt"
0x167950E3,"David Kuo","David Kuo"
0x167950E4,"Minkz Ngo","Minkz Ngo"
0x16D08FCD,"Matthew Kile","Matthew Kile"
0x16D08FCE,"Brian Battistini","Brian Battistini"
0x16E94E48,"N/A","없음"
0x1749F2EE,"Shereif Fattouh","Shereif Fattouh"
0x17C12BB1,"\nShuttles 04 and 05 both needed repairs after going planetside. Pilots have been telling me all kinds of stories about what's going on down in the colony. A couple of murders, half the place is on antidepressants or sleeping pills, and everyone is ""jumpy as hell"", quote one PiC. Love to know what they've got against my shuttles, that's for sure.","\n운송선 04호와 05호 모두 행성에 다녀온 뒤 수리가 필요했다. 조종사들이 콜로니에서 벌어지는 일에 대해 온갖 이야기를 해 주고 있다. 살인 사건이 몇 건 있었고, 콜로니 사람 절반이 항우울제나 수면제를 먹고 있으며, 어느 기장의 말을 그대로 옮기자면 모두가 ""엄청 날이 서 있다""고 한다. 대체 내 운송선에 무슨 억하심정이 있는 건지 정말 알고 싶다."
0x17D6223A,"Community Manager","커뮤니티 매니저"
0x17F623AC,"QA Support","QA 지원"
0x181FA6A5,"Medical gel pack that restores a medium amount of health.","체력을 중간 정도 회복시켜 주는 의료용 젤 팩."
0x183A481D,"Deactivate\ngravity","중력\n중지"
0x185F6261,"Alvin Jean-Baptiste","Alvin Jean-Baptiste"
0x185F6262,"Dan Lazzari","Dan Lazzari"
0x185F6263,"Michael Lynch","Michael Lynch"
0x185F6264,"Shane Moyer","Shane Moyer"
0x185F6265,"Jonathan Olazabal","Jonathan Olazabal"
0x185F6266,"Theodore Serefica","Theodore Serefica"
0x18678897,"[Tumble]Tumble     [MapZoomIn]Zoom In     [MapZoomOut]Zoom Out     [Paths]Paths     [Exit_Rig]Exit","[Tumble]회전     [MapZoomIn]확대     [MapZoomOut]축소     [Paths]경로     [Exit_Rig]나가기"
0x186C287D,"Catch a Brute or Leviathan Pod using Kinesis","유도장비로 브루트 또는 거대괴물 포드 잡기"
0x197176BF,"(Mining tool)","(채굴 도구)"
0x19A0B2EB,"Mark Johnson","Mark Johnson"
0x19A0B2EC,"Josh Riemersma","Josh Riemersma"
0x1A410994,"Chapter 5: Lethal Devotion","5장: 치명적 헌신"
0x1A805D46,"The shuttle should be operational now, but I should test fire the engines to ensure flight readiness before Kyne gets here.","이제 우주선은 작동할 것이다. 하지만 카인이 오기 전에 비행 준비가 되었는지 엔진을 시험 점화해 봐야 한다."
0x1A8422D2,"ACTIVATE AIR RECYCLE SYSTEM","공기 순환 시스템 작동"
0x1ACC73CF,"Extras","추가 요소"
0x1ACCDE20,"LEVEL 3 SUIT","레벨 3 보호복"
0x1ADA72DD,"[Tumble]Tumble","[Tumble]회전"
0x1AEF94E9,"OBJECTIVE\nACTIVE","목표\n활성화"
0x1AF51B3C,"Vsync","수직 동기화"
0x1AF73328,"RIPPER BLADES","리퍼날"
0x1B08E607,"Quarantine lifted.","격리가 해제되었습니다."
0x1B093508,"Michael Kukawski","Michael Kukawski"
0x1B093509,"Martin Liska","Martin Liska"
0x1B09350A,"Rute Ribeiro","Rute Ribeiro"
0x1B09350B,"Martin Zimmerman","Martin Zimmerman"
0x1B2A7EA4,"SECRET LAB REVEALED","비밀 연구실 발견"
0x1B5D0274,"VP, EA Redwood Shores Marketing","EA 레드우드 쇼어스 마케팅 부사장"
0x1B937563,"I can dispense the poison through the filtration system of Food Storage.  It should kill anything alive inside.","식량 저장고의 여과장치를 통해 독극물을 퍼뜨릴 수 있다. 안에 살아있는 건 뭐든 죽일 수 있을 것이다."
0x1B97EA0B,"Remote industrial saw.","공업용 원격조종 톱"
0x1B98788F,"CLEARED GAME","완료한 게임"
0x1BAD2B70,"Senior Animators","수석 애니메이터"
0x1BC4FB64,"POISON CAPSULE","독극물 캡슐"
0x1BE29F59,"INVENTORY","가방"
0x1BF35157,"LOADING SCHEMATIC","설계도 읽는 중"
0x1C11A854,"Explosive Device created from Thermite and a Shock Pad.","고열폭약과 충격 패드로 만든 폭발 장치."
0x1C26CA8E,"FOOD FILTER","음식물 정화장치"
0x1C28E65E,"Activate\ngravity","중력\n작동"
0x1C2B74E4,"Load Game","불러오기"
0x1C8C4892,"Options","설정"
0x1CADD956,"HIVE MIND GLIMPSE","하이브 마인드 영상"
0x1CE07E4A,"CLAW DISENGAGED","기계팔 해제"
0x1CF40F16,"Take Marker to Pedestal Site","마커를 받침대로 가져가라"
0x1D324156,"Development Director","개발 디렉터"
0x1D3E4453,"Project Manager","프로젝트 매니저"
0x1D6E80F9,"Tram Station","정거장"
0x1D6E80FA,"Security Station","보안 구역"
0x1D6E80FD,"Clinic","진료실"
0x1D6E80FE,"Emergency Room","응급실"
0x1D6E80FF,"Clinic","진료실"
0x1D6E8100,"Imaging Diagnostics","영상 진단실"
0x1D6E8101,"Chemical Lab Hall","화학 연구실 현관"
0x1DB2EC3E,"ACTIVATE?","작동?"
0x1DFC6D38,"Exodus","대탈출"
0x1E893A07,"Visual Effects Artists","시각 효과 아티스트"
0x1EE8639A,"LEVEL 01","01-층"
0x1EE8639B,"LEVEL 02","02-층"
0x1EE8639C,"LEVEL 03","03-층"
0x1F0256DE,"<Insert display string text>","<표시할 문자열 입력>"
0x1F2497CD,"AIR PURITY LEVEL","-공기 순도 수준-"
0x1F3409A8,"No","아니오"
0x1F44C675,"Exiting vacuum.","진공 구역 이탈."
0x1F45AB2F,"Deleting %1. Please don't turn off your PC.","%1 삭제 중입니다. PC를 끄지 마십시오."
0x1F4C21CB,"GRAVITY CONTROL","중력 조종"
0x1F4FA1DB,"Escape from a Lurker's grab attack 10 times","러커의 붙잡기 공격에서 10회 탈출"
0x1F7FA537,"USG Ishimura Store & Exchange","USG 이시무라 상점 & 교환소"
0x1F8898F3,"Normal","보통"
0x1FFB1BF7,"NEEDED","필요"
0x20053F96,"Restore Gravity to the Hangar Bay","격납고의 중력을 회복시켜라"
0x20329623,"DECK A: PREPARATION","A 갑판: 준비"
0x2067C4F9,"Engine Room","엔진실"
0x2067C4FA,"Engine Hall","엔진실 현관"
0x2067C4FB,"Corridors","통로"
0x2067C4FC,"Engine Corridors","엔진실 통로"
0x2067C4FD,"Armory Corridors","무기고 통로"
0x2067C4FE,"Barracks","막사"
0x2067C500,"Infirmary","의무실"
0x2067C501,"Starboard Corridors","우현 통로"
0x20C89CE9,"Increases Inventory slots and Armor.","가방의 용량과 방어력이 증가한다."
0x2101FE12,"Left Arrow","방향키 왼쪽"
0x210725C6,"Art Director","아트 디렉터"
0x21376CE8,"TRAM CALL","전동차 호출"
0x214CF6B8,"Juan Larrauri","Juan Larrauri"
0x2152ABA0,"The military ship...it slammed into the Ishimura.  Maybe some of the marines are still alive and can help...but somehow I doubt it.  Hammond says he found a shuttle on the Crew Deck.  I need to salvage a Singularity Core out of the military ship to repair the shuttle.  There is still hope, slim though it may be...","군함이… 이시무라에 들이받았다. 해병대원 중 누군가 아직 살아서 도움이 될지도 모르지만… 왠지 그럴 것 같지 않다. 해먼드가 승무원 갑판에서 우주선을 발견했다고 한다. 그 우주선을 수리하려면 군함에서 특이성 코어를 회수해야 한다. 희박하긴 하지만, 아직 희망은 있다…"
0x2183448D,"This will upgrade your ENERGY by %g pts.","에너지가 %g 포인트 업그레이드됩니다."
0x2187E5AB,"Look for blue holograms to activate.","파란색 홀로그램을 찾아 작동시킨다."
0x219095E1,"Store 25 Items in the Safe","보관함에 아이템 25개 저장"
0x219479E5,"Niu Jiang Bo","Niu Jiang Bo"
0x219479E6,"Liu Chi","Liu Chi"
0x219479E7,"Ren Bao Hong","Ren Bao Hong"
0x219479E8,"Jia Jian Jun","Jia Jian Jun"
0x219479E9,"Xie Jin Lai","Xie Jin Lai"
0x219479EA,"Sun Liang","Sun Liang"
0x219479EB,"Zhang Ran","Zhang Ran"
0x219479EC,"Zhang Wei","Zhang Wei"
0x219479ED,"Hu Yang","Hu Yang"
0x21B6C4BF,"ACTIVATE LOADER","- 운반기 작동 -"
0x21B6C4C0,"RETRIEVING CARGO","-화물 회수 중-"
0x21B6C4C1,"LOADER OFFLINE","운반기 작동 중지"
0x21B9FAD0,"(From a CEC-sponsored article in the publication, Amazing Universe)\n\nAs many of our older readers may recall, resource management on Earth and on the colonies was not always as streamlined as it is today. There was a time when needs could barely be met by the now-extinct resources of Earth and the dwindling supplies of the colonies. Looking to the stars for additional resources is nothing new, but at the time only smaller ships were shockpoint-able and they were insufficient at keeping up with demand.\n\nEnter the Ishimura.\n\n","(잡지 『어메이징 유니버스』에 실린 CEC 후원 기사에서 발췌)\n\n나이가 좀 있는 독자라면 기억하겠지만, 지구와 콜로니의 자원 관리가 항상 지금처럼 효율적이었던 것은 아니다. 지금은 고갈된 지구의 자원과 줄어만 가는 콜로니의 보급품으로 수요를 겨우 충당하던 시절이 있었다. 추가 자원을 찾아 별로 눈을 돌리는 것은 새로운 일이 아니었지만, 당시에는 소형 함선만이 쇼크포인트 도약이 가능했고, 그것만으로는 수요를 따라잡기에 역부족이었다.\n\n그리고 이시무라가 등장했다.\n\n"
0x21C23DB9,"Legend Teller","전설을 전하는 자"
0x21C29C5D,"Vibration","진동"
0x21CB1DA5,"There is not enough free space to save data.","저장할 공간이 부족합니다."
0x2205F52C,"Use Run to move quickly.","달리기를 사용하면 빠르게 이동할 수 있다."
0x2214CF4C,"ADS ONLINE","ADS 작동"
0x22166C4D,"Freeze","정지"
0x222D3521,"POISON COMPLETE","독극물 완성"
0x222F9829,"[LDLeft]","[LDLeft]"
