id,english,translation
0x0996DCE2,"[Aim_Mode]","< 번역 누락 : 0x0996DCE2 >"
0x0A22BEBB,"Go to the Medical Deck","의료 구역으로 가라"
0x0A34D7B8,"Diagnostics Scanner Now Online. Begin Scan?","< 번역 누락 : 0x0A34D7B8 >"
0x0A6BBF05,"MAINTENANCE BAY KEY","관리구역 열쇠"
0x0A92FBE4,"[Quick_Health]","< 번역 누락 : 0x0A92FBE4 >"
0x0A94AE9A,"Sound Designers","< 번역 누락 : 0x0A94AE9A >"
0x0B2139E9,"Italian Product Manager","< 번역 누락 : 0x0B2139E9 >"
0x0B2139EE,"Italian Public Relations","< 번역 누락 : 0x0B2139EE >"
0x0B4388B5,"Retrieve the Captain's RIG","선장의 RIG를 회수하라"
0x0B56C2DE,"When an immense mining ship, the USG Ishimura, comes into contact with a mysterious alien artifact in a remote star system, its communications with Earth are mysteriously cut off. Engineer Isaac Clarke is sent to repair the Ishimura's communications array, but he arrives to find a living nightmare-the ship is a floating bloodbath, the crew unspeakably mutilated and infected by an ancient alien scourge. Clarke's repair mission becomes one of survival as he fights not just to save himself, but to return the artifact to the planet ... at any cost.","< 번역 누락 : 0x0B56C2DE >"
0x0B6303DE,"New Save","< 번역 누락 : 0x0B6303DE >"
0x0B8D9991,"(Excerpts from THE FALSE MESSIAH, a book banned on Earth and most colonies)\n\nA RELIGION IS BORN\n\nWhen Michael Altman went public with his research on the Black Marker, the world was teetering on the brink of self-destruction. Many people, myself included, felt civilization was at an end. We couldn't change the world by ourselves and most of us didn't want to. What Altman offered us, this chance at a rebirth for humanity, was exactly what our hungry, empty souls were looking for.\n\n","< 번역 누락 : 0x0B8D9991 >"
0x0B9DC9B5,"NEW ALLY?","새 로 운 동 맹 ?"
0x0BDB005D,"MIXING COMPLETE","혼 합 완 료"
0x0BDB27CE,"Anja Heppelmann","< 번역 누락 : 0x0BDB27CE >"
0x0BE86E0D,"AIM THE ADS CANNON","A D S 캐 논 조 준"
0x0C29C0CB,"Aim Mode Controls","조 준 키 설 정"
0x0C46ADD1,"SOB OVERRIDE","개 자 식"
0x0C659638,"Scroll Lock","< 번역 누락 : 0x0C659638 >"
0x0C86F791,"REPAIR THE TRAM SYSTEM","전 동 차 복 구"
0x0C8FB76B,"Senior Publicist","< 번역 누락 : 0x0C8FB76B >"
0x0C9F5D66,"EILEEN","아 일 린"
0x0CA60F2F,"SINGULARITY CORE","특 이 성 코 어"
0x0CA69928,"[UI_Select]Continue","< 번역 누락 : 0x0CA69928 >"
0x0CB80C0F,"CENTRIFUGE OFFLINE","< 번역 누락 : 0x0CB80C0F >"
0x0CBF7263,"Yang Qing Hua","< 번역 누락 : 0x0CBF7263 >"
0x0D301733,"Veerle Taeye","< 번역 누락 : 0x0D301733 >"
0x0D4E64E3,"With the DNA combined with Kendra's chemical mixture, I just need to run it through the chemical station again to create the poison.","독극물을 만들려면 화학실로 돌아가야한다."
0x0D8B8DEE,"Dom Regan","< 번역 누락 : 0x0D8B8DEE >"
0x0D8D3DA7,"Save your game and Load it again to play another Round with all of your equipment.","게임을 저장하고 다시 불러오면 처음부터 장비를 모두 가지고 플레이할 수 있습니다."
0x0E3C07DA,"This product contains software technology licensed from On2 Technologies, Inc.","< 번역 누락 : 0x0E3C07DA >"
0x0E54B935,"Open the Hangar Door","격납고 문을 열어라"
0x0E9BA8C6,"Gondola","곤 돌 라"
0x0EC4759C,"Press new key / button","새로운 키/버튼을 누르시오"
0x0EC83B53,"Rene Apperly","< 번역 누락 : 0x0EC83B53 >"
0x0EC83B54,"James Arup","< 번역 누락 : 0x0EC83B54 >"
0x0EC83B55,"Sherwyn Augustus","< 번역 누락 : 0x0EC83B55 >"
0x0EC83B56,"Earl Baker","< 번역 누락 : 0x0EC83B56 >"
0x0EC83B57,"Stephen Baker","< 번역 누락 : 0x0EC83B57 >"
0x0EC83B58,"Dave Beck","< 번역 누락 : 0x0EC83B58 >"
0x0EC83B59,"James Bolton","< 번역 누락 : 0x0EC83B59 >"
0x0EC83B5A,"Matt Bright","< 번역 누락 : 0x0EC83B5A >"
0x0EC83B5B,"Phil Brown","< 번역 누락 : 0x0EC83B5B >"
0x0F1AF918,"MEDIUM AIR CAN","중형 산소통"
0x0F29932C,"DELETE","삭 제"
0x0F2FECFB,"Daniele Siciliano","< 번역 누락 : 0x0F2FECFB >"
0x0F4A3733,"STASIS PACK","감속장비 팩"
0x0F506477,"Aim Mode","조 준"
0x0F53C263,"QA Project Lead","< 번역 누락 : 0x0F53C263 >"
0x0F8C6D2A,"RIPPER BLADES\nSchematic Acquired\nDownload at the Store","리퍼날 설계도 획득"
0x0F9F13A3,"BEACON RECOVERED","신 호 기 회 수"
0x0FC6EFD6,"NAV CARD 3","운 항 카 드 3"
0x0FCE73F8,"Air Timer","에어 타이머"
0x0FCE73F9,"AIR CANISTERS","< 번역 누락 : 0x0FCE73F9 >"
0x0FD78203,"[MapZoomIn]Zoom In","< 번역 누락 : 0x0FD78203 >"
0x101508E9,"The captain's body made it down to the morgue, probably before the ship was totally compromised.  Nicole worked on this deck.  Maybe I can find something...anything showing that she's still alive.","선장의 시체는 영안실에 있다."
0x101FD27A,"This is USM Valor, widecasting on all frequencies to USG Ishimura in response to your SOS. We've picked up your escape pod number 47, and are en route to your position. This message will repeat every thirty seconds until you respond.","여기는 밸러.조난신호를 받고 모든 주파수로 이시무라에 송신중이다.우린 거기 47번 탈출포드를 회수하였고 지금 그리로 가고있다.이 메세지는 응답할때 까지 30초 마다 반복될 것이다."
0x101FD2A9,"Ka... What...","크…뭐야-"
0x1023D3A7,"This is Commander Cadigan! We have hostiles on board! This is NOT a drill! Hostiles are alien, repeat, ALIEN and extremely dangerous! All personnel have weapons ready and fire at will!","카디간 사령관이다!적의 칩입이다,이건 실제 상황이다!적은 외계인이다.극도로 위험한 놈들이다!전 대원,무기를 장전하고 즉시 사살하라!"
0x103D9D27,"CONTROL MODULE PLACED","조 종 장 치 수 정"
0x10478F37,"English","< 번역 누락 : 0x10478F37 >"
0x104C8379,"Zero-G Jump","무 중 력 점 프"
0x106CE7A0,"POWER CELL ENGAGED","파 워 셀 연 결"
0x1070F0F8,"Rd","< 번역 누락 : 0x1070F0F8 >"
0x10CA92FA,"Kinesis Symbol","유도장비 표식"
0x10D2E854,"Backspace","< 번역 누락 : 0x10D2E854 >"
0x10DC26AB,"TRAM STATUS","전 동 차"
0x10E9F23B,"[Use]Use","< 번역 누락 : 0x10E9F23B >"
0x10ED8F7F,"STASIS MODULE","감 속 장 비"
0x11095542,"INTERESTING RESULTS","흥 미 로 운 결 과"
0x11192140,"Live With The Hot Ones","< 번역 누락 : 0x11192140 >"
0x11208819,"Michael Gagnon","< 번역 누락 : 0x11208819 >"
0x1120881A,"Ashley Liu","< 번역 누락 : 0x1120881A >"
0x11A63A80,"Luciana Stella Boscaratto","< 번역 누락 : 0x11A63A80 >"
0x11D9BE00,"Complete Chapter 3 on any difficulty setting","< 번역 누락 : 0x11D9BE00 >"
0x11F450F4,"Hard","어 려 움"
0x1223E7DC,"MEDIUM MED PACK","중형 회복제"
0x1246B93F,"SCANNER ONLINE","< 번역 누락 : 0x1246B93F >"
0x126B8134,"Accept","< 번역 누락 : 0x126B8134 >"
0x12A75996,"Scott Gamel","< 번역 누락 : 0x12A75996 >"
0x12AFBDDC,"Print Screen","< 번역 누락 : 0x12AFBDDC >"
0x12E05E17,"I'm trying!","< 번역 누락 : 0x12E05E17 >"
0x12FA53E0,"STAND BY","점 검 중"
0x130D9B20,"The beacon's in place!  Just need to get to the Control Room and launch the asteroid off the ship.","통제실에서 소행성을 발사시킬수 있다."
0x1356503B,"Go to the Medical Deck","의료 구역으로 가라"
0x1378D2BB,"TERRIBLE MISTAKE","끔 찍 한 실 수"
0x1396F21F,"CHEMICAL CAPSULE","약 품 캡 슐"
0x13AEADB8,"Destroy the Poison Pods (1)","< 번역 누락 : 0x13AEADB8 >"
0x13AEADB9,"Destroy the Poison Pods (2)","< 번역 누락 : 0x13AEADB9 >"
0x13AEADBA,"Destroy the Poison Pods (3)","< 번역 누락 : 0x13AEADBA >"
0x13AEADBB,"Destroy the Poison Pods (4)","< 번역 누락 : 0x13AEADBB >"
0x13AEADBC,"Destroy the Poison Pods (5)","< 번역 누락 : 0x13AEADBC >"
0x13AEADBD,"Destroy the Poison Pods (6)","< 번역 누락 : 0x13AEADBD >"
0x13AEADBE,"Destroy the Poison Pods (7)","< 번역 누락 : 0x13AEADBE >"
0x13AEADBF,"Destroy the Poison Pods (8)","< 번역 누락 : 0x13AEADBF >"
0x13DBDCE8,"CROSS REPORT 1","크 로 스 의 기 록 1"
0x14209390,"DATA BOARD INSTALLED","데이터보드 설치 완료"
0x1440E61C,"Secondary Fire","보 조 공 격"
0x14A0BAB5,"Additional Environment Art","< 번역 누락 : 0x14A0BAB5 >"
0x14A8E4D6,"F1","< 번역 누락 : 0x14A8E4D6 >"
0x14A8E4D7,"F2","< 번역 누락 : 0x14A8E4D7 >"
0x14A8E4D8,"F3","< 번역 누락 : 0x14A8E4D8 >"
0x14A8E4D9,"F4","< 번역 누락 : 0x14A8E4D9 >"
0x14A8E4DA,"F5","< 번역 누락 : 0x14A8E4DA >"
0x14A8E4DB,"F6","< 번역 누락 : 0x14A8E4DB >"
0x14A8E4DC,"F7","< 번역 누락 : 0x14A8E4DC >"
0x14A8E4DD,"F8","< 번역 누락 : 0x14A8E4DD >"
0x14A8E4DE,"F9","< 번역 누락 : 0x14A8E4DE >"
0x14B7E8C6,"Up Arrow","방향키 위"
0x14B99C13,"Oxygen Canister","< 번역 누락 : 0x14B99C13 >"
0x14B99C14,"AUDIO LOG","음 성 기 록"
0x14B99C17,"FLAME FUEL","기름통"
0x14B99C18,"Medical Supplies","의 료 품"
0x14B99C19,"POWER NODE","파 워 노 드"
0x14B99C1A,"PLASMA ENERGY","플라즈마"
0x14B99C1B,"THERMITE BOMB","고열폭탄"
0x14BA9C51,"TRAM DATA BOARD","데이터보드"
0x14BA9C52,"TEXT LOG","문 서 기 록"
0x14BA9C53,"VIDEO LOG","영 상 기 록"
0x14BA9C55,"SCHEMATIC","설 계 도"
0x14BA9C56,"STASIS BATTERY","감 속 배 터 리"
0x14BA9C57,"CONTACT ENERGY","컨택트 에너지"
0x14BA9C58,"CURRENCY","< 번역 누락 : 0x14BA9C58 >"
0x14BA9C59,"LINE RACKS","라 인 랙"
0x14BEF59D,"Schematics","설 계 도"
0x14CB978C,"Marksman","< 번역 누락 : 0x14CB978C >"
0x14CF8B3A,"Beat the game using only the Plasma Cutter","< 번역 누락 : 0x14CF8B3A >"
0x1516B7E1,"Medium air canister that replenishes the air meter.","산소미터 보충용 일반 산소통"
0x1525F71D,"Clayton Vaught","< 번역 누락 : 0x1525F71D >"
0x153D051E,"Power Cell","< 번역 누락 : 0x153D051E >"
0x1545F5FC,"Restores Stasis Energy.","감속장비의 에너지 충전"
0x159C2B42,"RIPPER","리 퍼"
0x15AA226E,"Development Director - Outsourcing","< 번역 누락 : 0x15AA226E >"
0x15ADC9BB,"USG ISHIMURA\nStore & Exchange","< 번역 누락 : 0x15ADC9BB >"
0x15B3249B,"Development Manager - Environments","< 번역 누락 : 0x15B3249B >"
0x15B324A5,"Development Manager - Outsourcing","< 번역 누락 : 0x15B324A5 >"
0x15BB149F,"Switch Weapons","무 기 바 꾸 기"
0x15C2AE9F,"Holo-card containing shuttle navigation data.","< 번역 누락 : 0x15C2AE9F >"
0x15D43F26,"There are power junctions scattered around the Bridge.  I can hack into them and redistribute power to the ADS system.  Then Hammond can start it up and the ship will be protected from the asteroid bombardment.","배선함은 브릿지에 분포해 있다."
0x15D4D48F,"PULSE ROUNDS\nSchematic Acquired\nDownload at the Store","펄스 라운드 설계도 획득"
0x165CE976,"Thomas Holt","< 번역 누락 : 0x165CE976 >"
0x167950E3,"David Kuo","< 번역 누락 : 0x167950E3 >"
0x167950E4,"Minkz Ngo","< 번역 누락 : 0x167950E4 >"
0x16D08FCD,"Matthew Kile","< 번역 누락 : 0x16D08FCD >"
0x16D08FCE,"Brian Battistini","< 번역 누락 : 0x16D08FCE >"
0x16E94E48,"N/A","< 번역 누락 : 0x16E94E48 >"
0x1749F2EE,"Shereif Fattouh","< 번역 누락 : 0x1749F2EE >"
0x17C12BB1,"\nShuttles 04 and 05 both needed repairs after going planetside. Pilots have been telling me all kinds of stories about what's going on down in the colony. A couple of murders, half the place is on antidepressants or sleeping pills, and everyone is ""jumpy as hell"", quote one PiC. Love to know what they've got against my shuttles, that's for sure.","< 번역 누락 : 0x17C12BB1 >"
0x17D6223A,"Community Manager","< 번역 누락 : 0x17D6223A >"
0x17F623AC,"QA Support","< 번역 누락 : 0x17F623AC >"
0x181FA6A5,"Medical gel pack that restores a medium amount of health.","절반의 체력을 치료해주는 회복제."
0x183A481D,"Deactivate\ngravity","중 력 중 지"
0x185F6261,"Alvin Jean-Baptiste","< 번역 누락 : 0x185F6261 >"
0x185F6262,"Dan Lazzari","< 번역 누락 : 0x185F6262 >"
0x185F6263,"Michael Lynch","< 번역 누락 : 0x185F6263 >"
0x185F6264,"Shane Moyer","< 번역 누락 : 0x185F6264 >"
0x185F6265,"Jonathan Olazabal","< 번역 누락 : 0x185F6265 >"
0x185F6266,"Theodore Serefica","< 번역 누락 : 0x185F6266 >"
0x18678897,"[Tumble]Tumble     [MapZoomIn]Zoom In     [MapZoomOut]Zoom Out     [Paths]Paths     [Exit_Rig]Exit","< 번역 누락 : 0x18678897 >"
0x186C287D,"Catch a Brute or Leviathan Pod using Kinesis","< 번역 누락 : 0x186C287D >"
0x197176BF,"(Mining tool)","< 번역 누락 : 0x197176BF >"
0x19A0B2EB,"Mark Johnson","< 번역 누락 : 0x19A0B2EB >"
0x19A0B2EC,"Josh Riemersma","< 번역 누락 : 0x19A0B2EC >"
0x1A410994,"Chapter 5: Lethal Devotion","< 번역 누락 : 0x1A410994 >"
0x1A805D46,"The shuttle should be operational now, but I should test fire the engines to ensure flight readiness before Kyne gets here.","비행준비를 위해 점화테스트를 해야 할 것이다."
0x1A8422D2,"ACTIVATE AIR RECYCLE SYSTEM","순 환 시 스 템 작 동"
0x1ACC73CF,"Extras","< 번역 누락 : 0x1ACC73CF >"
0x1ACCDE20,"LEVEL 3 SUIT","레벨 3 보호복"
0x1ADA72DD,"[Tumble]Tumble","< 번역 누락 : 0x1ADA72DD >"
0x1AEF94E9,"OBJECTIVE\nACTIVE","목 표 복 구"
0x1AF51B3C,"Vsync","수 직 동 기 화"
0x1AF73328,"RIPPER BLADES","리 퍼 날"
0x1B08E607,"Quarantine lifted.","격리가 해제되었습니다."
0x1B093508,"Michael Kukawski","< 번역 누락 : 0x1B093508 >"
0x1B093509,"Martin Liska","< 번역 누락 : 0x1B093509 >"
0x1B09350A,"Rute Ribeiro","< 번역 누락 : 0x1B09350A >"
0x1B09350B,"Martin Zimmerman","< 번역 누락 : 0x1B09350B >"
0x1B2A7EA4,"SECRET LAB REVEALED","비 밀 연 구 실"
0x1B5D0274,"VP, EA Redwood Shores Marketing","< 번역 누락 : 0x1B5D0274 >"
0x1B937563,"I can dispense the poison through the filtration system of Food Storage.  It should kill anything alive inside.","음식물 여과장치에 캡슐을 주입해야한다."
0x1B97EA0B,"Remote industrial saw.","공업용 원격조종 톱"
0x1B98788F,"CLEARED GAME","완 료 한 게 임"
0x1BAD2B70,"Senior Animators","< 번역 누락 : 0x1BAD2B70 >"
0x1BC4FB64,"POISON CAPSULE","독 극 물 캡 슐"
0x1BE29F59,"INVENTORY","가 방"
0x1BF35157,"LOADING SCHEMATIC","설 계 도 읽 는 중"
0x1C11A854,"Explosive Device created from Thermite and a Shock Pad.","폭약과 충격기로 만들어진 폭파장비"
0x1C26CA8E,"FOOD FILTER","음식물 정화장치"
0x1C28E65E,"Activate\ngravity","< 번역 누락 : 0x1C28E65E >"
0x1C2B74E4,"Load Game","불 러 오 기"
0x1C8C4892,"Options","설 정"
0x1CADD956,"HIVE MIND GLIMPSE","하 이 브 마 인 드 영 상"
0x1CE07E4A,"CLAW DISENGAGED","기계팔 해제"
0x1CF40F16,"Take Marker to Pedestal Site","마커를 받침대로 가져가라"
0x1D324156,"Development Director","< 번역 누락 : 0x1D324156 >"
0x1D3E4453,"Project Manager","< 번역 누락 : 0x1D3E4453 >"
0x1D6E80F9,"Tram Station","정 거 장"
0x1D6E80FA,"Security Station","보 안 구 역"
0x1D6E80FD,"Clinic","진 료 실"
0x1D6E80FE,"Emergency Room","응 급 실"
0x1D6E80FF,"Clinic","진 료 실"
0x1D6E8100,"Imaging Diagnostics","영 상 진 단 실"
0x1D6E8101,"Chemical Lab Hall","화 학 연 구 실 현 관"
0x1DB2EC3E,"ACTIVATE?","작 동 ?"
0x1DFC6D38,"Exodus","< 번역 누락 : 0x1DFC6D38 >"
0x1E893A07,"Visual Effects Artists","< 번역 누락 : 0x1E893A07 >"
0x1EE8639A,"LEVEL 01","01-층"
0x1EE8639B,"LEVEL 02","02-층"
0x1EE8639C,"LEVEL 03","03-층"
0x1F0256DE,"<Insert display string text>","< 번역 누락 : 0x1F0256DE >"
0x1F2497CD,"AIR PURITY LEVEL","-공 기 순 도 수 준-"
0x1F3409A8,"No","아니오"
0x1F44C675,"Exiting vacuum.","< 번역 누락 : 0x1F44C675 >"
0x1F45AB2F,"Deleting %1. Please don't turn off your PC.","< 번역 누락 : 0x1F45AB2F >"
0x1F4C21CB,"GRAVITY CONTROL","중 력 조 종"
0x1F4FA1DB,"Escape from a Lurker's grab attack 10 times","< 번역 누락 : 0x1F4FA1DB >"
0x1F7FA537,"USG Ishimura Store & Exchange","< 번역 누락 : 0x1F7FA537 >"
0x1F8898F3,"Normal","보 통"
0x1FFB1BF7,"NEEDED","필수품"
0x20053F96,"Restore Gravity to the Hangar Bay","격납고의 중력을 회복시켜라"
0x20329623,"DECK A: PREPARATION","< 번역 누락 : 0x20329623 >"
0x2067C4F9,"Engine Room","엔 진 실"
0x2067C4FA,"Engine Hall","엔 진 실 현 관"
0x2067C4FB,"Corridors","통 로"
0x2067C4FC,"Engine Corridors","엔 진 실 통 로"
0x2067C4FD,"Armory Corridors","무 기 고 통 로"
0x2067C4FE,"Barracks","막 사"
0x2067C500,"Infirmary","의 무 실"
0x2067C501,"Starboard Corridors","우 현 통 로"
0x20C89CE9,"Increases Inventory slots and Armor.","가방의 용량과 방어력이 증가한다."
0x2101FE12,"Left Arrow","방향키 왼쪽"
0x210725C6,"Art Director","< 번역 누락 : 0x210725C6 >"
0x21376CE8,"TRAM CALL","호 출"
0x214CF6B8,"Juan Larrauri","< 번역 누락 : 0x214CF6B8 >"
0x2152ABA0,"The military ship...it slammed into the Ishimura.  Maybe some of the marines are still alive and can help...but somehow I doubt it.  Hammond says he found a shuttle on the Crew Deck.  I need to salvage a Singularity Core out of the military ship to repair the shuttle.  There is still hope, slim though it may be...","특이성 코어를 찾아야 한다.아직 희망은 있다."
0x2183448D,"This will upgrade your ENERGY by %g pts.","< 번역 누락 : 0x2183448D >"
0x2187E5AB,"Look for blue holograms to activate.","파란색 홀로그램을 찾아 작동시킨다"
0x219095E1,"Store 25 Items in the Safe","보관함에 아이템 25개 저장"
0x219479E5,"Niu Jiang Bo","< 번역 누락 : 0x219479E5 >"
0x219479E6,"Liu Chi","< 번역 누락 : 0x219479E6 >"
0x219479E7,"Ren Bao Hong","< 번역 누락 : 0x219479E7 >"
0x219479E8,"Jia Jian Jun","< 번역 누락 : 0x219479E8 >"
0x219479E9,"Xie Jin Lai","< 번역 누락 : 0x219479E9 >"
0x219479EA,"Sun Liang","< 번역 누락 : 0x219479EA >"
0x219479EB,"Zhang Ran","< 번역 누락 : 0x219479EB >"
0x219479EC,"Zhang Wei","< 번역 누락 : 0x219479EC >"
0x219479ED,"Hu Yang","< 번역 누락 : 0x219479ED >"
0x21B6C4BF,"ACTIVATE LOADER","- 운 반 기 작 동 -"
0x21B6C4C0,"RETRIEVING CARGO","-화 물 회 수 중-"
0x21B6C4C1,"LOADER OFFLINE","운 반 기 작 동 중 지"
0x21B9FAD0,"(From a CEC-sponsored article in the publication, Amazing Universe)\n\nAs many of our older readers may recall, resource management on Earth and on the colonies was not always as streamlined as it is today. There was a time when needs could barely be met by the now-extinct resources of Earth and the dwindling supplies of the colonies. Looking to the stars for additional resources is nothing new, but at the time only smaller ships were shockpoint-able and they were insufficient at keeping up with demand.\n\nEnter the Ishimura.\n\n","< 번역 누락 : 0x21B9FAD0 >"
0x21C23DB9,"Legend Teller","< 번역 누락 : 0x21C23DB9 >"
0x21C29C5D,"Vibration","진 동"
0x21CB1DA5,"There is not enough free space to save data.","저장할 공간이 부족합니다."
0x2205F52C,"Use Run to move quickly.","달리기로 빠른 이동이 가능하다."
0x2214CF4C,"ADS ONLINE","A D S 작 동"
0x22166C4D,"Freeze","< 번역 누락 : 0x22166C4D >"
0x222D3521,"POISON COMPLETE","독 극 물 완 성"
0x222F9829,"[LDLeft]","< 번역 누락 : 0x222F9829 >"
0x22680744,"No data detected in slot.","슬롯에 데이터가 없습니다."
0x22729448,"\n","< 번역 누락 : 0x22729448 >"
0x22730F10,"LOCK BYPASSED","잠 금 해 제"
